-ί|iota demonstrativum
φαλαγγομάχης|one who fights in the phalanx
φαλαγγομαχέω|to fight in a phalanx
φαλακρόομαι|to become bald
φαλακρός|baldheaded, bald
φαλαντίας|a bald man
φαλαρίς|the coot
φαληρεύς|a Phalerian
φαληριάω|to be patched with white
φαληρικός|of or from Phalerum
φαληροῖ|at Phalerum
φαληρόθεν|from Phalerum
φαληρόνδε|to Phalerum
φαλλικός|of or for the
φαλλός|membrum virile, phallus, a figure
φαλός|shining, white.
φαλῆς|Phales
φανή|a torch:—a torch-procession
φανίον|Dim. of φανός, Anth.
φαναῖος|giving or bringing light
φανερόμισος|openly hating
φανερός|open to sight, visible, manifest, evident
φανερόφιλος|openly loving, an open friend
φανερόω|to make manifest
φαντάζομαι|to become visible, appear, shew oneself
φαντασία|imagination, the power by which an object is presented
φανός1|@
φανός2|@
φανός|@
φαρέτρα|a quiver
φαρέτριον|Dim. of φαρέτρα, Mosch.
φαρετρεών|= φαρέτρα, Hdt.
φαρισαῖος|a Pharisee, Separatist
φαρμάσσω|to treat by using
φαρμακάω|to suffer from the effect of poison, to be ill or distraught
φαρμακίς|a sorceress, witch
φαρμακεία|the use of drugs, potions, spells
φαρμακεύς|a poisoner, sorcerer
φαρμακεύω|to administer a drug
φαρμακοποσία|a drinking of medicine
φαρμακοπώλης|a dealer in drugs
φαρμακοτρίβης|one who grinds drugs or colours
φαρμακός|a poisoner, sorcerer, magician
φαρμακόω|to endue with healing power
φαρμακώδης|of the nature of a
φασγανουργός|forging swords
φασιανός|from the river Phasis
φασσοφόνος|dove-killing
φατέος|one must say
φατίζω|to say, speak, report
φατειός|utterable
φατός1|that may be spoken
φατός|that may be spoken
φαυλίζω|to hold cheap, to depreciate, disparage
φαυλεπίφαυλος|bad upon bad, bad as bad can be
φαυλότης|meanness, paltriness, pettiness, badness
φαυσίμβροτος|= φαεσίμβροτος, Pind.
φαῦλος|easy, slight
φείδομαι|to spare
φείδων|an oil-can with a narrow neck, that lets only a little run out
φειδίτια|v. sub φιλίτια.
φειδωλή|= φειδώ, Il., Solon.
φειδωλία|= φειδώ, Ar., Plat.
φειδωλός|sparing, thrifty
φειδώ|a sparing
φειστέος|one must spare
φελλίον|= φελλεύς, Xen.
φελλεύς|stony ground
φελλόπους|cork-footed
φελλός|the cork-tree
φελλώ|Cork-land
φενάκη|false hair, a wig
φενακίζω|to play the
φενακισμός|cheatery, quackery, imposition
φερέγγυος|giving surety
φερέκακος|inured to toil or hardship
φερέκαρπος|yielding fruit
φερένικος|carrying off victory
φερέοικος|carrying one's house with one
φερέπονος|bringing toil and trouble
φερέσβιος|life-giving
φερανθής|flower-bringing
φερεαυγής|bringing light
φερεσσακής|shield-bearing
φερεστάφυλος|yielding bunches of grapes
φερετρεύομαι|to be carried on a litter
φερνή|that which is brought by the wife
φερρεφάττιον|a temple of Persephonée
φερσέφασσα|poet. for Περσεφόνη
φερτός|verb. adj. of φέρω, endurable , Eur.
φευκτέος|one must flee
φευκτός|to be shunned or avoided
φευξείω|to wish to escape
φεψαλόομαι|to be burnt to ashes
φεύγω|to flee, take flight, run away
φεύζω|to cry
φεῦ|ah! alas! woe!
φεῦξις|= φύξις, Soph.
φηγός|oak
φηλητής|a knave, thief
φηλητεύω|to cheat, deceive
φηλόω|to cheat, deceive
φημί|to declare, make known
φημίζω|to utter a voice
φηρομανής|game-mad, madly fond of wild animals
φθάνω|to come or do first
φθέγγομαι|to utter a sound or voice
φθέγμα|the sound of the voice, a voice
φθία|Phthia
φθίηνδε|to Phthia.
φθίηφι|Phthia
φθίνασμα|a declining, sinking
φθίνυλλα|starveling
φθίσις|a perishing, decay
φθίω|to decay, wane, dwindle
φθαρτικός|destructive of
φθαρτός|perishable
φθείρ|a louse
φθείρω|to ruin, waste, spoil, destroy
φθειρίασις|the morbus pedicularis
φθειριάω|to have morbus pedicularis
φθειροτραγέω|to eat fir-cones
φθερσιγενής|destroying the race
φθινάς|waning
φθινάω|collat. form of φθίνω, Luc.
φθινοπωρίς|autumnal
φθινόκαρπος|having lost fruitfulness
φθινόπωρον|late autumn, the fall of the year
φθινύθω|to waste, consume
φθισήνωρ|destroying or killing men
φθισίμβροτος|destroying men
φθιτός|the dead
φθιώτης|a man of Phthia
φθιῶτις|the land of Phthia
φθογγάζομαι|Dep. = φθέγγομαι, Anth.
φθογγή|= φθόγγος, Hom., etc.
φθονέω|to bear ill-will or malice, bear a grudge, be envious
φθονερός|envious, jealous, grudging
φθορά|destruction, ruin, perdition
φθόγγος|any clear, distinct sound
φθόις|a
φθόνησις|a jealous refusal
φθόνος|ill-will, envy, jealousy
φθόρος|a pestilent fellow
φθῖος|v. Φθία.
φιάλη|a broad, flat vessel, a bowl
φιάλλω|to undertake, set about
φιαρός|shining, bright
φιβάλεως|early fig
φιδίτια|v. φιλίτια.
φιλάβουλος|wilfully unadvised
φιλάγλαος|loving splendour
φιλάγραυλος|fond of the country
φιλάγρυπνος|fond of waking, wakeful
φιλάγων|loving the games
φιλάδελφος|loving one's brother or sister, brotherly, sisterly
φιλάεθλος|fond of the games
φιλάκρατος|fond of sheer wine
φιλάμπελος|loving the vine
φιλάνθρωπος|loving mankind, humane, benevolent, kindly
φιλάνωρ|fond of one's husband, conjugal
φιλάοιδος|fond of singing
φιλάργυρος|fond of money, covetous
φιλάρετος|fond of virtue
φιλάρματος|fond of the chariot-race
φιλέγγυος|readily giving security or bail
φιλέθειρος|attached to the hair
φιλέκδημος|= φιλαπόδημος, Strab.
φιλέλλην|fond of the Hellenes
φιλέριθος|fond of wool-spinning
φιλέσπερος|fond of evening
φιλέταιρος|fond of one's comrades or partisans, true to them
φιλέω|to love, regard with affection
φιλήδονος|fond of pleasure
φιλήκους|fond of hearing discussions
φιλήνεμος|loving wind
φιλήνιος|following the rein, tractable
φιλήρετμος|loving the oar
φιλήτωρ|a lover
φιλία|friendly love, affection, friendship
φιλίτια|the common meals or public tables
φιλίτιον|the common hall
φιλαίματος|bloodthirsty
φιλαίτερος|irreg. comp. and Sup. of φίλος
φιλαίτιος|fond of accusing, censorious
φιλαγρευτής|fond of the chase
φιλαδελφία|brotherly love
φιλαθήναιος|fond of the Athenians
φιλαιδήμων|loving modesty
φιλακόλουθος|readily following
φιλαλέξανδρος|a friend of Alexander
φιλαλήθης|loving truth
φιλαμπελόω|to love the vine
φιλαναγνώστης|fond of reading
φιλαναλωτής|fond of spending, prodigal of
φιλανδρία|love for the male sex
φιλανθρακεύς|friend of colliers
φιλανθρωπέω|to treat humanely
φιλανθρωπία|humanity, benevolence, kindliness
φιλανθρωπεύομαι|to act humanely
φιλανθρώπευμα|a humane act
φιλαπεχθήμων|fond of making enemies, quarrelsome
φιλαπεχθημοσύνη|fondness for making enemies, quarrelsomeness
φιλαπλοικός|fond of simplicity
φιλαπόδημος|fond of travelling
φιλαργυρία|love of money, covetousness
φιλαριστείδης|a friend of Aristides
φιλαρχία|love of rule, lust of power
φιλαστράγαλος|fond of playing at
φιλειδήμων|fond of learning
φιλεπιτιμητής|a censorious person
φιλεραστής|fond of a lover
φιλεραστία|devotion to a lover
φιλεργία|love of labour, industry
φιλεργός|loving work, industrious
φιλεταιρία|attachment to one's comrades
φιλεχθής|= φίλεχθρος, Theocr.
φιλεύιος|loving the cry of
φιληδέω|to find pleasure in, take delight in
φιληδής|fond of pleasure
φιληδία|delight
φιληκοέω|to be attentive
φιληκοία|fondness for hearing or listening to
φιληλάκατος|fond of the spindle
φιληλιάς|fond of the sun
φιληλιαστής|one who delights in the trials of the court Heliaea
φιλημοσύνη|friendliness, affection
φιλησίμολπος|μολπή
φιλητέος|one must love
φιλητικός|disposed to love
φιλητός|to be loved, worthy of love
φιλικός|of or for a friend, befitting a friend, friendly
φιλιππίζω|to be on Philip's side or party, to Philippize
φιλιππικός|of or against Philip
φιλοίκειος|loving one's relations
φιλοίκτιστος|= φιλοικτίρμων, Soph.
φιλοβασίλειος|loving monarchy
φιλοβασιλεύς|a friend to the king
φιλογέλοιος|fond of the ludicrous
φιλογέωργος|fond of a country life
φιλογαθής|doric for φιλογηθής.
φιλογαστορίδης|one who loves his belly, a glutton
φιλογεωργία|fondness for a country life
φιλογηθής|loving mirth, mirthful
φιλογράμματος|loving books
φιλογραμματέω|to love books
φιλογυμναστέω|to love gymnastic exercises
φιλογυμναστής|fond of gymnastic exercises.
φιλογυμναστία|fondness for gymnastic exercises
φιλογυμναστικός|of or for a
φιλογύνης|fond of women
φιλοδέσποτος|loving one's lord or master
φιλοδίκαιος|loving the right, loving justice
φιλοδίτης|a friend of travellers
φιλοδικέω|to be fond of litigation
φιλοδοξέω|to love fame, seek honour
φιλοδοξία|love of honour or glory
φιλοδωρία|fondness for giving, bounteousness
φιλοεργός|fond of work, industrious
φιλοζέφυρος|loving the west wind
φιλοθέωρος|= φιλοθεάμων, Arist.
φιλοθεάμων|fond of seeing, fond of shows, plays or spectacles
φιλοθηρία|love of hunting, love of the chase
φιλοθουκυδίδης|fond of Thucydides
φιλοθύτης|fond of sacrifices
φιλοιερεύς|a friend of priests
φιλοικοδόμος|fond of building
φιλοικτίρμων|prone to pity
φιλοινία|love of wine
φιλοκέρδεια|love of gain, greed
φιλοκέρτομος|fond of jeering
φιλοκίνδυνος|fond of danger, adventurous
φιλοκαλέω|to cultivate a taste for the beautiful
φιλοκαμπής|easily bending, lithe
φιλοκαρποφόρος|bearing fruit abundantly
φιλοκερδέω|to be greedy of gain
φιλοκερδής|greedy of gain
φιλοκηδεμών|fond of one's relatives
φιλοκισσοφόρος|fond of wearing ivy
φιλοκοσμία|love of ornament or show
φιλοκρόταλος|loving rattles
φιλοκτέανος|loving possessions, greedy of gain, covetous
