Αἰάντειος,of Ajax
προσχημᾰτισμός,outward show
προσχλευάζω,mock or jeer besides
προσχολάζω,study formerly with
προσχορεύω,dance to the sound of
προσχορηγέω,supply in addition
προσχράομαι,use or avail oneself of
προσχρίμπτω,touch, graze
προσχρίω,apply as salve
προσχρηστέον,one must use besides
προσχρώννῡμι,spread upon
προσχρῄζω,require or desire besides
προσχρῶτα,body to body
προσχωρέω,go to, approach
προσχόλιον,ante-room of a school
προσχύτης,profusor
προσχώννῡμι,heap upon
προσχώρησις,approach
προσχᾰρίζομαι,gratify or satisfy
προσχᾰρακτηρικῶς,as extension of character
προσχᾰρισμός,arrogatio
προσψήφισμα,addition, rider to a decree
προσψαύω,touch upon, touch
προσψεύδομαι,add falsely
προσψηφίζομαι,vote besides
προσψύχω,blow cold
προσψῐθῠρίζω,whisper, chirp, whistle to
προσωθέω,push to or towards
προσωνέομαι,buy besides
προσωνῠμία,surname
προσωπεῖον,mask
προσωπικῶς,in respect of grammatical person
προσωπολήπτης,respecter of persons
προσωποληπτέω,to be a respecter of persons
προσωποληψία,respect of persons
προσωποποιέω,compose by means of
προσωποποιία,dramatization, the putting of speeches into the mouths of characters
προσωποποιός,mask-maker
προσωποῦττα,vessel with a face
προσωρεύω,heap up before
προσωτέρω,further on
προσωφέλημα,help or aid in
προσωφέλησις,help, aid
προσωφελέω,help, assist besides, contribute to assist
προσωφελητέον,one must assist
προσόδιος,processional
προσόζω,smell of, be redolent of
προσόμνῡμι,swear besides
προσόμοιος,nearly like, much like
προσόμουρος,adjacent
προσόμᾰλος,tolerably level
προσόρμῐσις,coming to anchor or to land
προσόχθισμα,object of wrath, offence
προσόψημα,anything eaten with or besides
προσόψιος,full in view
προσύγκειμαι,to be arranged, agreed beforehand
προσύμβολον,prognostic
προσύνειμι,to be cohabiting with already
προσύπειμι,underlie in addition
προσύστᾰσις,preliminary exposition
προσώδης,smelling, stinking
προσᾰγάλλω,honour besides
προσᾰγελάζω,add to the herd
προσᾰγοράζω,buy besides
προσᾰγορευτέος,to be called or named
προσᾰγορευτικός,of address or greeting
προσᾰγορεύω,address, greet
προσᾰγωγή,bringing to
προσᾰγωγίς,transport
προσᾰγωγεύς,introducer
προσᾰγωγεῖον,square
προσᾰγωγός,attractive, persuasive
προσᾰγωνίζομαι,contend besides
προσᾰγόρευμα,appellation, name
προσᾰγόρευσις,address, greeting
προσᾰγᾰνακτέω,to be angry besides
προσᾰδῐκέω,do
προσᾰθῡμέω,to be discouraged at
προσᾰκοντίζω,shoot like a javelin
προσᾰκούω,hear besides
προσᾰλίγκιος,like
προσᾰλίσκομαι,to be cast
προσᾰλαζονεύω,play the braggart besides
προσᾰλείφω,rub or smear upon
προσᾰμέλγομαι,yield milk besides
προσᾰμείβομαι,answer
προσᾰμιλλάομαι,vie with, rival besides
προσᾰμύνω,come to aid
προσᾰμύσσω,irritate still further
προσᾰνάλλομαι,leap up at
προσᾰναγκάζω,force or constrain besides
προσᾰναγκαστέον,one must prove
προσᾰνᾱλίσκω,lavish or consume besides
προσᾰπιστέω,to be distrustful besides
προσᾰπᾰτάω,deceive besides
προσᾰράσσω,dash against
προσᾰρήγω,assist besides
προσᾰρακτός,dashed against
προσᾰριθμέω,pay in
προσᾰριθμητέον,one must reckon in
προσᾰρωγός,auxiliary
προσᾰρύομαι,draw as well
προσᾰρᾰρίσκω,fit to
προσᾰτῑμόομαι,suffer
προσᾰφή,touching, handling
προσᾰφής,touching upon, in communication with
προσᾰῡτέω,call to
προσᾱΐσσω,spring or rush to
προσᾱριστάω,take breakfast as well
προσᾴδω,sing to
προσῐκετεύω,supplicate besides
προσῐνής,infestus
προσῐτέον,ibo
προσῐτός,approachable
προσῑπόω,appremo
προσῑτεύω,feed before
προσῠλάκτησις,carping
προσῠλακτέω,bark at
προσῠφαίνω,interweave with
προσῡριγγόομαι,to be channelled, provided with a cavity beforehand
προσῳδής,swollen
προσῳδία,song sung to instrumental music
προσῳδός,singing or sounding in accord, harmonious
προτάσσω,place or post in front
προτέγγω,wet or moisten before
προτέγισμα,eaves
προτέλεια,previous payment, advance
προτέλειος,before a ceremony of initiation
προτέλεσις,prognostication
προτέλευτος,penultimate
προτέμνω,cut off beforehand
προτένθης,those who celebrated the
προτέρημα,advantage, superiority
προτέρησις,superiority
προτέρω,further, forwards
προτέρωσε,toward the front, forward
προτέταρτον,on the fourth day before
προτήθη,great-grandmother
προτήθῡς,born before Tethys
προτήκω,melt beforehand
προτί̄μησις,honouring before or above
προτίθημι,set before, set out
προτίκτω,bring forth prematurely
προτίοπτος,which can be looked at
προτίω,prefer in honour, prefer
προταινί,in front of
προτακτέον,one must place in front or before
προτακτικός,used as prefix
προταρβέω,fear beforehand
προτείνω,stretch out before, hold before
προτείχισμα,advanced fortification, outwork
προτειχίζω,protect by a wall
προτεκνόω,have issue previously
προτελέω,pay or expend beforehand
προτελής,offered before a marriage
προτελίζω,initiate or consecrate by a ceremony preliminary to marriage
προτελειόω,perform preliminary initiation
προτελεσματικός,belonging to a
προτελευτάω,die before
προτελευτή,earlier death
προτελευταῖος,second-last
προτεμένισμα,precincts or entrance of a
προτενής,fore-stretching
προτενθεύω,forestall, receive too soon
προτεράσιος,on the previous day
προτερέω,to be before, be in advance
προτεραῖος,previous to
προτερηγενής,born sooner, older
προτερικόν,prior claim
προτεχνολογέω,treat technically before
προτεχνολόγημα,preliminary technical treatment
προτεχνόομαι,to be trained already
προτεύχω,to have happened beforehand, to be past
προτηρέω,watch carefully
προτιτλόω,entitle
προτιτρώσκω,wound beforehand
προτιόσσομαι,look at or upon
προτολμάομαι,to be first ventured or risked
προτομή,front part cut off
προτομᾱφόρος,imaginifer
προτονίζω,haul up with
προτρέπτης,one who admonishes or exhorts
προτρέπω,urge forwards
προτρέφω,nourish, feed before
προτρέχω,run forward or forth
προτρίβω,rub up or powder beforehand
προτρεπτικός,hortatory
προτροπάδην,turned forwards
προτροπή,exhortation, encouragement
προτρυγάω,gather the vintage in advance
προτρυγητήρ,harbinger of the vintage
προτρύγαιος,presiding over the vintage
προτρύγησις,early vintage
προτρώγω,eat beforehand
προτρᾰγῳδέω,indulge in tragic declamation before
προτρᾱχύνω,roughen, scrape first
προτρῐᾱκάς,th day of the month
προτυγχάνω,happen or be before
